file,cut,rmsd
carA_A0A329K2Y4.pdb,621,2.137
carA_A0AB74FGQ8.pdb,630,2.14
carA_A0A1A2ZG36.pdb,614,2.141
carA_A0A1X1Z1D7.pdb,625,2.141
carA_A0A345I2A9.pdb,624,2.143
carA_A0A7T1TD85.pdb,608,2.144
carA_A0A1A2Z8H6.pdb,621,2.147
carA_A0A5N0UWA7.pdb,609,2.148
carA_A0A1X0I7R5.pdb,621,2.15
carA_A0A7X6R1D2.pdb,611,2.151
carA_A0A1X1RT79.pdb,602,2.154
carA_A0A4Q9HZT3.pdb,632,2.154
carA_A0A5N0E0J5.pdb,624,2.155
carA_A0A9P3UYS2.pdb,621,2.157
carA_A0A7I7SCY4.pdb,622,2.157
carA_A0A378WN66.pdb,614,2.16
carA_A0A7I9Y2B3.pdb,621,2.162
carA_J5E0P6.pdb,621,2.163
carA_A0A117IEQ2.pdb,617,2.164
carA_A0A1X1U6G3.pdb,640,2.166
carA_A0AAW5THR0.pdb,609,2.166
carA_A0A4R1FWD7.pdb,629,2.167
carA_A0A291RWF7.pdb,612,2.168
carA_A0A7I9WQZ1.pdb,618,2.169
carA_A0A0U0ZLV7.pdb,630,2.17
carA_A0A1X1TV41.pdb,613,2.171
carA_A0A4R7IZC0.pdb,615,2.174
carA_A0A9Q7WGW0.pdb,619,2.175
carA_A0A370I008.pdb,632,2.177
carA_A0A1T5XJ36.pdb,630,2.182
carA_A0A1Z4EBS9.pdb,638,2.19
carA_A0A0H5RL48.pdb,609,2.19
carA_A0A1A0VBY7.pdb,611,2.191
carA_A0AAD1H459.pdb,612,2.193
carA_A0A0U0ZPX5.pdb,619,2.195
carA_A0AAX1JED5.pdb,625,2.196
carA_A0A1Z4EGK3.pdb,613,2.197
carA_A0A378UBH7.pdb,617,2.197
carA_A0A6S6NYQ7.pdb,629,2.197
carA_A0A640SD75.pdb,629,2.198
carA_A0AB33TD28.pdb,619,2.199
carA_A0A231H7W5.pdb,614,2.201
carA_H5U1W4.pdb,602,2.203
carA_A0A024JWI0.pdb,613,2.205
carA_A0A1J0VT15.pdb,616,2.207
carA_A0A6N4VDZ9.pdb,615,2.207
carA_A0A1W9ZU79.pdb,609,2.208
carA_A0A7I7X9S1.pdb,613,2.208
carA_A0A1X1U567.pdb,618,2.21
carA_J9WJC3.pdb,611,2.212
carA_A0A9X2YRI8.pdb,626,2.212
carA_A0A1X0AZ01.pdb,623,2.213
carA_A0AAX1J9Y8.pdb,624,2.213
carA_A0A498PZZ1.pdb,627,2.213
carA_A0A1X0XWA4.pdb,612,2.216
carA_A0A7W9PLQ8.pdb,626,2.216
carA_A0A1H8UHI3.pdb,618,2.216
carA_A0A1S1LBB7.pdb,630,2.217
carA_A0AB72XQA2.pdb,618,2.218
carA_A0A4R8SET2.pdb,619,2.22
carA_A0A511M4D4.pdb,622,2.227
carA_A0A4R1FSR2.pdb,605,2.227
carA_A0A329M492.pdb,611,2.228
carA_A0A1X0FZ49.pdb,611,2.228
carA_A0A7K0DM07.pdb,623,2.229
carA_A0AAJ1W4G5.pdb,622,2.232
carA_A0A1G4WIS5.pdb,614,2.233
carA_A0AAI8TZQ7.pdb,624,2.234
carA_A0A7I7QP40.pdb,623,2.234
carA_A0A0U1Z2H3.pdb,612,2.234
carA_A0A0Q2M080.pdb,622,2.235
carA_X8A9W7.pdb,632,2.235
carA_A0A1S1M9C0.pdb,627,2.237
carA_X8CEN6.pdb,611,2.239
carA_A0A1A3NWI0.pdb,624,2.24
carA_A0A7X6M5C6.pdb,612,2.241
carA_A0A1W9YPH5.pdb,603,2.241
carA_A0A3Q9KMK0.pdb,629,2.241
carA_K0EPZ9.pdb,622,2.244
carA_A0A045K2P5.pdb,618,2.246
carA_A0A317N4Q8.pdb,616,2.246
carA_A0A1Q4HNQ9.pdb,611,2.248
carA_A0A4R8T0X1.pdb,619,2.249
carA_A0AB73LE91.pdb,639,2.25
carA_A0A1A3TXF6.pdb,622,2.25
carA_A0A1X2KZQ2.pdb,611,2.253
carA_A0A6H0S7C9.pdb,601,2.253
carA_A0AB73U2P7.pdb,639,2.254
carA_A0A1X1SXX1.pdb,616,2.255
carA_V5X749.pdb,602,2.255
carA_L7V8G3.pdb,624,2.256
carA_A0A7X6MKH2.pdb,617,2.257
carA_A0A7K0D4H1.pdb,620,2.26
carA_A0A9N7QNJ2.pdb,624,2.26
carA_A0A1A2SD60.pdb,632,2.262
carA_A0A1W9ZN90.pdb,609,2.262
carA_A0A1A2DP38.pdb,630,2.262
carA_A0A7I7PH49.pdb,628,2.262
carA_A0A1A2YRQ4.pdb,611,2.263
carA_A0A1G6K7R0.pdb,632,2.264
carA_A0A178CV43.pdb,614,2.265
carA_A0AB38D5A4.pdb,630,2.265
carA_A0A7I7X9S2.pdb,618,2.266
carA_A0A0U0ZGC0.pdb,639,2.267
carA_A0A1B9CJD7.pdb,618,2.268
carA_A0A7I7YXB1.pdb,637,2.268
carA_A0A051U3G5.pdb,621,2.27
carA_A0A1X2FK51.pdb,623,2.27
carA_A0A1X2DIF1.pdb,620,2.27
carA_A0A2K4YB80.pdb,632,2.271
carA_A0AAD1IMS5.pdb,627,2.271
carA_A0A1Y5Y6P3.pdb,605,2.273
carA_A0A6A0AQ11.pdb,587,2.273
carA_A0AB33ACF4.pdb,639,2.274
carA_H8IJH7.pdb,611,2.274
carA_A0AAD1I0L4.pdb,631,2.275
carA_A0A846VZQ1.pdb,595,2.275
carA_A0A1X2AMC4.pdb,623,2.276
carA_A0A853LYQ8.pdb,621,2.277
carA_A0A0H3MCY6.pdb,618,2.277
carA_A0A9X2E4R0.pdb,612,2.278
carA_A0A1D7VWY6.pdb,608,2.278
carA_A0A2G8B7A9.pdb,619,2.279
carA_A0A1B8SKL4.pdb,624,2.281
carA_U5ELY0.pdb,616,2.282
carA_A0A1X0FY05.pdb,621,2.283
carA_D5PI48.pdb,621,2.283
carA_A0A5C7YBR3.pdb,622,2.287
carA_A0A6G9XT36.pdb,622,2.29
carA_A0A1A3KPW7.pdb,626,2.291
carA_A0A7I9YES0.pdb,626,2.292
carA_A0A285LZS8.pdb,616,2.292
carA_A0A829PY25.pdb,639,2.292
carA_A0A0H5NNV9.pdb,610,2.294
carA_A0A010YLP6.pdb,617,2.294
carA_A0A829QF13.pdb,639,2.295
carA_A0AAJ3TVZ5.pdb,626,2.295
carA_A0A329KUN3.pdb,611,2.296
carA_A0A1X0YC10.pdb,620,2.297
carA_A0A1S1M3C1.pdb,639,2.299
carA_A0AB38CYE9.pdb,639,2.3
carA_A0A9Q7SE40.pdb,632,2.302
carA_A0A829PS58.pdb,639,2.303
carA_A0A1Z4EZ73.pdb,639,2.303
carA_A0A291RHD9.pdb,622,2.303
carA_A0AA37PJ36.pdb,634,2.306
carA_A0A1W9Z9K2.pdb,628,2.307
carA_A0A0M2WG04.pdb,592,2.308
carA_A0AB73LM64.pdb,632,2.309
carA_A0AA42BYT1.pdb,623,2.31
carA_A0A7G8PH04.pdb,607,2.312
carA_J9WML3.pdb,632,2.312
carA_A0A4R8S1L2.pdb,618,2.312
carA_A0A6P1CTQ2.pdb,616,2.314
carA_A0AAE4UCZ3.pdb,637,2.314
carA_A0AA94UBA0.pdb,621,2.315
carA_A0A164L8T1.pdb,621,2.316
carA_A0A179VA95.pdb,619,2.318
carA_A0AAE4RDM5.pdb,623,2.321
carA_A0A7X5TUU1.pdb,607,2.321
carA_A0AAD1HL52.pdb,617,2.322
carA_A0A6G9Z0E6.pdb,621,2.322
carA_A0A6G9Z057.pdb,622,2.324
carA_A0AB38CZ04.pdb,632,2.325
carA_A0A3E1HFK0.pdb,621,2.325
carA_A0A4R8S7U6.pdb,639,2.325
carA_A0AAE4UD82.pdb,632,2.326
carA_A0A1A2STK0.pdb,640,2.326
carA_A0A544W0X3.pdb,611,2.327
carA_A0A9Q7WIY4.pdb,639,2.328
carA_A0A2A7NAH8.pdb,617,2.328
carA_A0A6N4W3I8.pdb,609,2.329
carA_A0A7R7MY24.pdb,625,2.329
carA_A0A7I9YZ18.pdb,626,2.33
carA_A0A1A2SKN5.pdb,620,2.33
carA_A0AAV2WH99.pdb,602,2.331
carA_A0A7U5RXC1.pdb,632,2.332
carA_A0A7I9ZCH7.pdb,640,2.332
carA_A0A1X2DPB1.pdb,609,2.332
carA_A0A1A2EVY2.pdb,621,2.332
carA_A0A1Y2NRV5.pdb,587,2.333
carA_A0A318JQK2.pdb,606,2.334
carA_A0A064CG00.pdb,617,2.335
carA_A0A853M2B7.pdb,611,2.336
carA_A0A829MDQ7.pdb,632,2.337
carA_A0A7V8RXZ3.pdb,632,2.337
carA_A0A1T3NLC9.pdb,595,2.337
carA_A0AAC9YPU9.pdb,611,2.338
carA_J9WJ93.pdb,625,2.339
carA_A0A1A2NZX0.pdb,623,2.339
carA_A0A1A2Z2J8.pdb,600,2.341
carA_A0A6G9YNU3.pdb,615,2.344
carA_A0A1E3SKI4.pdb,626,2.346
carA_A0A100WL29.pdb,607,2.346
carA_A0A1A0MX32.pdb,622,2.346
carA_A0AAX1JCS8.pdb,626,2.346
carA_A0A829HWH3.pdb,632,2.348
carA_A0A1X0DSG2.pdb,611,2.349
carA_K0V789.pdb,609,2.35
carA_A0A291RHE0.pdb,621,2.35
carA_A0A375Z3F8.pdb,604,2.35
carA_A0A7W9NKR9.pdb,596,2.351
carA_A0A6N4W768.pdb,626,2.352
carA_A0A829MIB4.pdb,639,2.352
carA_A0A7U5MR51.pdb,637,2.353
carA_A0A1X0Y567.pdb,614,2.354
carA_X8DPU6.pdb,639,2.354
carA_A0A4R8S6S5.pdb,639,2.355
carA_A0A5R8PAY8.pdb,617,2.356
carA_A0A1A2SGC1.pdb,611,2.356
carA_A0A829Q1V2.pdb,632,2.357
carA_A0AAI8U017.pdb,611,2.357
carA_A0A164L8S1.pdb,622,2.357
carA_A0A1Y0CFN4.pdb,623,2.358
carA_A0A7D6ZHA2.pdb,609,2.359
carA_A0A1S1MVI3.pdb,620,2.362
carA_A0A7U5RWM8.pdb,625,2.362
carA_A0A1A3N5H1.pdb,626,2.362
carA_A0A1X0XYW4.pdb,626,2.362
carA_A1T887.pdb,612,2.363
carA_A0AB74F9U6.pdb,619,2.363
carA_A0A4R6P566.pdb,595,2.364
carA_A0A1R3Y1N0.pdb,618,2.365
carA_H8IU56.pdb,625,2.367
carA_A0A7G1KQI6.pdb,621,2.368
carA_A0A0D2EWW5.pdb,614,2.369
carA_A0A449GAD2.pdb,610,2.371
carA_A0A6I3L2J0.pdb,631,2.371
carA_A0A1A0V6S5.pdb,621,2.371
carA_A0A853LXB5.pdb,632,2.372
carA_W9B0J1.pdb,607,2.373
carA_Q5YY80.pdb,610,2.373
carA_A0A1D8GAR9.pdb,587,2.377
carA_O69484.pdb,625,2.378
carA_A0A0D1LMF4.pdb,622,2.378
carA_A0A1X0AYB7.pdb,612,2.379
carA_L7KHK1.pdb,593,2.379
carA_A0A0U1DUP4.pdb,621,2.381
carA_A0A6N4URH6.pdb,609,2.381
carA_A0A0F5MSZ2.pdb,622,2.382
carA_A0AB74FEB0.pdb,632,2.385
carA_B2HE95.pdb,633,2.386
carA_A0A0K0XCM7.pdb,625,2.387
carA_Q6RKB1.pdb,628,2.388
carA_A0A1A3U111.pdb,631,2.388
carA_A0A1A2YYV5.pdb,632,2.388
carA_A0A179V396.pdb,632,2.39
carA_A0A544W3Y3.pdb,632,2.39
carA_A0A543EXG0.pdb,616,2.39
carA_A0A7X6MIZ0.pdb,609,2.393
carA_A0A7I7QB07.pdb,611,2.394
carA_A0A829PS24.pdb,632,2.395
carA_A0A7I7PIE9.pdb,612,2.395
carA_A0A9W4AZG8.pdb,618,2.396
carA_A0ABD6QS80.pdb,609,2.397
carA_A0A2K4YB08.pdb,634,2.397
carA_A0A7I7RZ78.pdb,626,2.397
carA_A0A1A3BEU1.pdb,626,2.399
carA_A0A850PMX4.pdb,613,2.401
carA_A0A0U1E1C0.pdb,609,2.401
carA_A0A6G9XS88.pdb,614,2.401
carA_A0AB33ACN0.pdb,632,2.401
carA_A0A1A3H185.pdb,621,2.402
carA_A0A7I7QP46.pdb,625,2.402
carA_A0A286MPQ6.pdb,587,2.402
carA_A0A1S1LFP5.pdb,632,2.402
carA_A0AAD1IMP5.pdb,629,2.406
carA_A0A378T271.pdb,609,2.407
carA_A0AB73U9A3.pdb,632,2.407
carA_A0A4R5WK74.pdb,622,2.407
carA_A0A7Y9XV54.pdb,632,2.409
carA_A0A0L0JTI1.pdb,623,2.409
carA_A0AAC9VV50.pdb,628,2.412
carA_A0A2A7NH78.pdb,619,2.412
carA_A0AAJ3NLH7.pdb,621,2.414
carA_H8ITF4.pdb,632,2.415
carA_A0A9X2E3D3.pdb,624,2.416
carA_A0AAW5TB97.pdb,615,2.418
carA_F5YUX6.pdb,626,2.419
carA_A0A0F4ES51.pdb,625,2.419
carA_A0A1X1WD57.pdb,611,2.42
carA_A0A7I9ZAR1.pdb,632,2.42
carA_A0A7I7VZ71.pdb,624,2.421
carA_A0A1E3SLH6.pdb,611,2.421
carA_A0A1E8QAA5.pdb,626,2.421
carA_A0A853LX37.pdb,628,2.423
carA_A0A937RSP3.pdb,627,2.424
carA_A0A1H6L3W8.pdb,622,2.426
carA_A0A6G4AHJ1.pdb,595,2.432
carA_A0A1X1TXE9.pdb,621,2.434
carA_W9AZM3.pdb,614,2.435
carA_A0A9X7WHR6.pdb,622,2.436
carA_A0A846MH08.pdb,639,2.437
carA_A0A2S8BGN3.pdb,623,2.437
carA_A0A918CWM2.pdb,597,2.438
carA_A0A4R8S8U4.pdb,632,2.439
carA_A0A4Z0HSE6.pdb,613,2.439
carA_A0A370HAX8.pdb,621,2.44
carA_A0A375YKM9.pdb,613,2.44
carA_A0A6G9YM63.pdb,622,2.44
carA_A0A0H5BB76.pdb,586,2.444
carA_A0A0U0WCI8.pdb,626,2.445
carA_A0A1S1LZ61.pdb,632,2.447
carA_A0A7I7XXG0.pdb,621,2.447
carA_A0A498PZU2.pdb,630,2.448
carA_A0A846XPH2.pdb,632,2.448
carA_A0A0J6WR15.pdb,613,2.449
carA_A0A3M2L4P9.pdb,619,2.45
carA_A0A7I7JNU6.pdb,626,2.451
carA_A0A9X2Z2J6.pdb,632,2.451
carA_A0A1E3RBW0.pdb,621,2.451
carA_A0A1X2EPB4.pdb,619,2.452
carA_A0AA91M3B5.pdb,592,2.452
carA_A0A7I7WCE0.pdb,602,2.452
carA_A0AAE6TQG2.pdb,629,2.452
carA_A0A3S4RS92.pdb,613,2.453
carA_A0A1Q4H4E6.pdb,614,2.456
carA_G8RIP0.pdb,620,2.457
carA_A0A0M2JYX2.pdb,613,2.457
carA_X0Q040.pdb,628,2.458
carA_A0A0E4GX90.pdb,611,2.459
carA_A0A7K1VB93.pdb,613,2.459
carA_A0A1A1WCB1.pdb,615,2.46
carA_A0A1S1L7L3.pdb,632,2.461
carA_A0A1W9Z9K6.pdb,621,2.461
carA_A0A1A6BMZ1.pdb,620,2.463
carA_A0A7I9Z705.pdb,624,2.463
carA_A0A4Z0HRY8.pdb,615,2.463
carA_A0A1A2YVQ7.pdb,628,2.464
carA_A0A1I6TMF1.pdb,598,2.464
carA_A0A8E2LPD0.pdb,631,2.465
carA_E5XP76.pdb,641,2.465
carA_D6ZDT1.pdb,600,2.467
carA_A0A2T2Z8U3.pdb,614,2.468
carA_A0A1A2VM45.pdb,640,2.469
carA_A0A7I7P449.pdb,640,2.471
carA_A0A7I7R3J2.pdb,622,2.472
carA_A0A8J3FU84.pdb,636,2.472
carA_A0A7I9ZRY4.pdb,617,2.473
carA_A0A561TWL9.pdb,629,2.476
carA_A0A2U3P0N3.pdb,613,2.477
carA_A0A329LAU5.pdb,621,2.479
carA_A0A0J6VZP7.pdb,613,2.48
carA_A0A132PRD2.pdb,623,2.482
carA_B2HN69.pdb,624,2.482
carA_A0A1X0BWL6.pdb,622,2.482
carA_A0A1A2SQA4.pdb,628,2.484
carA_E3J9G9.pdb,627,2.484
carA_A0A0N9YG13.pdb,610,2.485
carA_A0A4Z0HM23.pdb,613,2.487
carA_A0AA37PRM7.pdb,625,2.487
carA_A0A318HI90.pdb,623,2.488
carA_A0A7D6E1I6.pdb,621,2.488
carA_A0A7I7WJN8.pdb,618,2.489
carA_A0A502EC16.pdb,622,2.49
carA_A0A975JWU9.pdb,633,2.491
carA_A0A1A3KJV4.pdb,624,2.492
carA_A0A7I9XMW5.pdb,625,2.493
carA_A0A9X2YIQ0.pdb,613,2.494
carA_A0A0J6Z0M9.pdb,613,2.494
carA_A0A8H2PIF1.pdb,621,2.494
carA_A0A2K4Y9B3.pdb,613,2.495
carA_A0A1X1ZAJ3.pdb,622,2.496
carA_A0A1X1TX55.pdb,630,2.497
carA_A0A0I9Z3I8.pdb,626,2.5
carA_A0AAD1HCQ5.pdb,616,2.5
carA_A0A1I5LZY6.pdb,629,2.502
carA_A0A1X1XH13.pdb,627,2.503
carA_A0A7I7YUU0.pdb,623,2.504
carA_A0A1A3P7V6.pdb,611,2.506
carA_A0A1S1LF81.pdb,627,2.506
carA_A0A3M2LDY9.pdb,610,2.507
carA_A0A1T3NUL4.pdb,636,2.508
carA_A0AAU4K3W1.pdb,637,2.509
carA_A0AB38USB2.pdb,631,2.511
carA_A0A1X2FLH9.pdb,610,2.512
carA_A0A100W5H8.pdb,616,2.512
carA_A0AA37PJQ2.pdb,628,2.515
carA_A0A2U3PHP0.pdb,622,2.516
carA_A0A2U3NPT1.pdb,635,2.516
carA_A0A447GD36.pdb,628,2.517
carA_A0A640UJM0.pdb,634,2.519
carA_A0AAX3A495.pdb,613,2.519
carA_A0A4V3HUY3.pdb,619,2.519
carA_A0A6G9Z2E5.pdb,622,2.52
carA_A0A7I7RRZ6.pdb,618,2.522
carA_A0A255DTC1.pdb,616,2.522
carA_A0A1E3S0K4.pdb,622,2.523
carA_A0A1X0J866.pdb,619,2.525
carA_A0A1X0KKW9.pdb,621,2.526
carA_A0AB73MHS4.pdb,627,2.527
carA_B1VMZ4.pdb,602,2.527
carA_A0A9X2E3I2.pdb,632,2.53
carA_A0A2G5PN19.pdb,627,2.53
carA_I4BIH7.pdb,613,2.531
carA_X8DWH6.pdb,619,2.532
carA_A0A1A0VZR1.pdb,628,2.533
carA_A0AAC9YL18.pdb,621,2.534
carA_A0A840Q103.pdb,599,2.534
carA_A0A1E3SV84.pdb,634,2.537
carA_A0A7I7QL20.pdb,631,2.538
carA_A0A1E3SN70.pdb,612,2.538
carA_A0A0D1L7Y1.pdb,622,2.538
carA_A0A7I7SXJ5.pdb,615,2.54
carA_A0A1T7HTT5.pdb,619,2.541
carA_A0A163Z098.pdb,631,2.543
carA_A0A329KGE0.pdb,618,2.547
carA_A0A1Z4F080.pdb,627,2.548
carA_A0A2S6AAE1.pdb,614,2.551
carA_A0A1A0RF23.pdb,609,2.553
carA_A0A7I7LJC3.pdb,624,2.555
carA_A0A846YJB4.pdb,594,2.557
carA_A0A426SF14.pdb,635,2.557
carA_A0A0J8TWL2.pdb,609,2.559
carA_A0A1S1L5R7.pdb,619,2.559
carA_A0A4R5PF75.pdb,619,2.56
carA_A0A7K3R588.pdb,602,2.565
carA_A0A1X0K0U7.pdb,618,2.565
carA_A0A5S9NMT1.pdb,616,2.566
carA_A0A1X1Y0D8.pdb,605,2.566
carA_A0A1S1NIB3.pdb,627,2.567
carA_A0A5C7XWH5.pdb,623,2.567
carA_A0A7H1Q5K4.pdb,633,2.569
carA_A0A1V3WG34.pdb,628,2.57
carA_A0AAX2ZQD4.pdb,609,2.571
carA_A0A939FJS2.pdb,629,2.572
carA_A0A7I7Q4Z2.pdb,613,2.572
carA_A0A1A1WCA4.pdb,609,2.572
carA_A0A1E8Q6I1.pdb,616,2.573
carA_A0A1X1V443.pdb,615,2.573
carA_A0A0E4CLA0.pdb,640,2.578
carA_A0A9X8QZ54.pdb,632,2.581
carA_Q741P9.pdb,624,2.584
carA_A0A7I7KQ88.pdb,620,2.585
carA_A0A7I7MPF4.pdb,627,2.585
carA_A0A2G5PCS5.pdb,620,2.586
carA_A0A917FVC2.pdb,633,2.586
carA_A0A7K3LE40.pdb,624,2.586
carA_A0A6P1D575.pdb,616,2.588
carA_A0A024JZE8.pdb,634,2.59
carA_A0A0B1ZH49.pdb,641,2.59
carA_A0A2A3LDA8.pdb,624,2.592
carA_A0A0H2ZUI5.pdb,624,2.593
carA_A0A1U3MWT7.pdb,632,2.595
carA_A0A1A3C4T0.pdb,621,2.595
carA_A0AAX2ZQB8.pdb,615,2.595
carA_A0AB33ADN5.pdb,619,2.598
carA_A0A557XZJ5.pdb,633,2.598
carA_A0A100WJQ5.pdb,614,2.604
carA_A0A5R8NPV3.pdb,617,2.606
carA_A0A829Q102.pdb,619,2.607
carA_A0ABD7HN08.pdb,619,2.61
carA_L7V833.pdb,633,2.611
carA_A0AAJ3NT49.pdb,611,2.611
carA_A0AAW5S5J5.pdb,624,2.613
carA_A0A1X1VXW9.pdb,632,2.613
carA_A0A1Y5PCF7.pdb,615,2.62
carA_A0A0Q2RTZ0.pdb,619,2.622
carA_A0A386ZPG1.pdb,636,2.626
carA_A0A829PSZ5.pdb,619,2.629
carA_A0A1A3GZZ6.pdb,625,2.63
carA_A0A0K0XB28.pdb,623,2.631
carA_A0A4R5X5Y0.pdb,613,2.632
carA_A0A370I000.pdb,605,2.632
carA_A0A7V8LNU0.pdb,619,2.632
carA_A0A1X1SSG1.pdb,627,2.633
carA_A0A839Q3V9.pdb,612,2.635
carA_A0A7I7TD11.pdb,615,2.636
carA_A0A7I7ZRH7.pdb,625,2.638
carA_A0A829HTG5.pdb,619,2.638
carA_A0A421AW77.pdb,617,2.639
carA_A0A2A9FBQ2.pdb,623,2.639
carA_A0A9Y2IBK6.pdb,622,2.64
carA_A0A117I9Z0.pdb,622,2.642
carA_A0A542DCL6.pdb,635,2.644
carA_A0A7I7NVN0.pdb,621,2.649
carA_A0A1Q9W8K3.pdb,609,2.655
carA_A0A1A3N7A1.pdb,624,2.656
carA_A0A1X0DT32.pdb,611,2.657
carA_A0A1X0I595.pdb,639,2.661
carA_A0A1Z4EZ40.pdb,632,2.661
carA_A0A5J5JW77.pdb,622,2.662
carA_A0A2A2ZGB2.pdb,622,2.663
carA_A0A7I7S1X3.pdb,634,2.664
carA_A0A6G9ZF28.pdb,612,2.664
carA_A0A927MND6.pdb,621,2.665
carA_A0A4R5WKD4.pdb,625,2.666
carA_A0A1B4Y4X4.pdb,624,2.667
carA_A0A132PS78.pdb,610,2.668
carA_A0A0F5NA60.pdb,624,2.671
carA_A0A9N7QL79.pdb,634,2.676
carA_A0A4Q7KNW3.pdb,614,2.677
carA_A0A7G8PH05.pdb,614,2.677
carA_A0A498QQD7.pdb,630,2.68
carA_A0A1Y0C436.pdb,626,2.683
carA_A0A1S1KKY6.pdb,615,2.684
carA_A0A178LTI6.pdb,611,2.685
carA_A0A124DZH3.pdb,637,2.687
carA_A0A172UHW8.pdb,605,2.688
carA_A0A1A0RF29.pdb,615,2.688
carA_A0A438ATK5.pdb,622,2.689
carA_A0A438AUV2.pdb,622,2.689
carA_K0UL90.pdb,611,2.69
carA_A0A7I7UBW3.pdb,613,2.696
carA_A0A2N3VL42.pdb,610,2.696
carA_A0A9X3C2T0.pdb,611,2.697
carA_A0A2I2L057.pdb,648,2.697
carA_A0A378TAR8.pdb,618,2.697
carA_A0A9X7ILG2.pdb,622,2.698
carA_A0A1X2F2L6.pdb,617,2.7
carA_A0A7Z7ILT5.pdb,618,2.7
carA_A0A1G6PJB6.pdb,630,2.701
carA_A0A7I7XP41.pdb,616,2.702
carA_A0A1B9CX42.pdb,621,2.702
carA_A0A919J5R3.pdb,622,2.711
carA_A0A1X0A2U5.pdb,626,2.711
carA_A0A5Q5CFF7.pdb,623,2.714
carA_A0A2U3N8I6.pdb,612,2.714
carA_A0A2U9PQ99.pdb,622,2.715
