file,entry,rmsd
A0A4Z0HRY8.pdb,A0A4Z0HRY8,0.847
A0ABU5YQP4.pdb,A0ABU5YQP4,0.848
A0A2U3N8I6.pdb,A0A2U3N8I6,0.848
A0ABX3T0P8.pdb,A0ABX3T0P8,0.849
A0A7K3LE40.pdb,A0A7K3LE40,0.849
A0ABW9M0U1.pdb,A0ABW9M0U1,0.85
A0A1A1WCA4.pdb,A0A1A1WCA4,0.852
A0A1S1L7L3.pdb,A0A1S1L7L3,0.852
A0A378WN66.pdb,A0A378WN66,0.852
A0A7I7QB07.pdb,A0A7I7QB07,0.852
A0A0U1E1C0.pdb,A0A0U1E1C0,0.852
A0ABR5FFS4.pdb,A0ABR5FFS4,0.853
A0AA37PRM7.pdb,A0AA37PRM7,0.854
A0ABX3VAQ3.pdb,A0ABX3VAQ3,0.854
A0AAC9YL18.pdb,A0AAC9YL18,0.854
A0ABW9M0T7.pdb,A0ABW9M0T7,0.854
A0ABU5Y1S8.pdb,A0ABU5Y1S8,0.854
A0ABU5XMQ5.pdb,A0ABU5XMQ5,0.854
A0A853LYQ8.pdb,A0A853LYQ8,0.855
A0A0J8TXD9.pdb,A0A0J8TXD9,0.855
A0ABR5FS25.pdb,A0ABR5FS25,0.855
A0ABW3GAX3.pdb,A0ABW3GAX3,0.855
A0A2U9PQ99.pdb,A0A2U9PQ99,0.855
K0V789.pdb,K0V789,0.855
A0A1G4WIS5.pdb,A0A1G4WIS5,0.856
A0ABU1XFG9.pdb,A0ABU1XFG9,0.857
A0A024JWI0.pdb,A0A024JWI0,0.857
A0ABD6QS80.pdb,A0ABD6QS80,0.858
A0A7I7WJN8.pdb,A0A7I7WJN8,0.858
A0A0F5MSZ2.pdb,A0A0F5MSZ2,0.858
A0A1I5LZY6.pdb,A0A1I5LZY6,0.858
A0A7G8PH05.pdb,A0A7G8PH05,0.859
A0ABN5ZR55.pdb,A0ABN5ZR55,0.859
A0A375Z3F8.pdb,A0A375Z3F8,0.859
A0A0Q2RTZ0.pdb,A0A0Q2RTZ0,0.86
A0A1X2FLH9.pdb,A0A1X2FLH9,0.86
A0A1S1LFP5.pdb,A0A1S1LFP5,0.861
A0ABN6IEF7.pdb,A0ABN6IEF7,0.861
A0A051U3G5.pdb,A0A051U3G5,0.862
A0A0U1DUP4.pdb,A0A0U1DUP4,0.862
A0AAJ3NT49.pdb,A0AAJ3NT49,0.863
A0AAE4UCZ3.pdb,A0AAE4UCZ3,0.863
A0A178LTI6.pdb,A0A178LTI6,0.864
A0A846XPH2.pdb,A0A846XPH2,0.865
A0A846YJB4.pdb,A0A846YJB4,0.865
A0A438AUV2.pdb,A0A438AUV2,0.866
A0A7I9Z705.pdb,A0A7I9Z705,0.867
A0A7I7XXG0.pdb,A0A7I7XXG0,0.867
A0ABS5RSN2.pdb,A0ABS5RSN2,0.867
X8CEN6.pdb,X8CEN6,0.867
A0A4R5WKD4.pdb,A0A4R5WKD4,0.868
A0AAX2ZQD4.pdb,A0AAX2ZQD4,0.868
A0A164L8T1.pdb,A0A164L8T1,0.868
A0A1B8SKL4.pdb,A0A1B8SKL4,0.87
A0AAW5S5J5.pdb,A0AAW5S5J5,0.87
A0ABX3TLS6.pdb,A0ABX3TLS6,0.87
A0A7I7Q4Z2.pdb,A0A7I7Q4Z2,0.87
A0ABW1EUK8.pdb,A0ABW1EUK8,0.871
A0A178CV43.pdb,A0A178CV43,0.871
A0A7I7X9S2.pdb,A0A7I7X9S2,0.872
A0A1U3MWT7.pdb,A0A1U3MWT7,0.872
W7J139.pdb,W7J139,0.873
A0A1A2ZG36.pdb,A0A1A2ZG36,0.873
A0A1A3NWI0.pdb,A0A1A3NWI0,0.873
A0A7I7PH49.pdb,A0A7I7PH49,0.874
A0A370HAX8.pdb,A0A370HAX8,0.874
A0A7I9XMW5.pdb,A0A7I9XMW5,0.874
A0A640SD75.pdb,A0A640SD75,0.875
A0A6G9Z0E6.pdb,A0A6G9Z0E6,0.875
A0ABZ1VXB9.pdb,A0ABZ1VXB9,0.875
J9WJ93.pdb,J9WJ93,0.876
A0A2U3PHP0.pdb,A0A2U3PHP0,0.876
A0A9Q7WIY4.pdb,A0A9Q7WIY4,0.876
A0A1X1Z1D7.pdb,A0A1X1Z1D7,0.876
A0A378YSF8.pdb,A0A378YSF8,0.877
A0ABS5RPE8.pdb,A0ABS5RPE8,0.877
A0A1X1VXW9.pdb,A0A1X1VXW9,0.877
A0A1X0DSG2.pdb,A0A1X0DSG2,0.878
A0A829Q1V2.pdb,A0A829Q1V2,0.879
A0A2T2Z8U3.pdb,A0A2T2Z8U3,0.879
A0AB38CZ04.pdb,A0AB38CZ04,0.879
A0A6A0AQ11.pdb,A0A6A0AQ11,0.879
A0AB73U9A3.pdb,A0AB73U9A3,0.879
A0A0B8NM02.pdb,A0A0B8NM02,0.879
A0A6S6NYQ7.pdb,A0A6S6NYQ7,0.881
A0A0U0ZG49.pdb,A0A0U0ZG49,0.881
A0ABT1I9G9.pdb,A0ABT1I9G9,0.882
A0A7I7MPF4.pdb,A0A7I7MPF4,0.882
A0A9X2YRI8.pdb,A0A9X2YRI8,0.882
A0A7I7PIE9.pdb,A0A7I7PIE9,0.882
A0A1E3SLH6.pdb,A0A1E3SLH6,0.883
A0ABY3VE79.pdb,A0ABY3VE79,0.884
A0AAX1J9Y8.pdb,A0AAX1J9Y8,0.884
A0ABU5YW85.pdb,A0ABU5YW85,0.884
A0ABV6XEA6.pdb,A0ABV6XEA6,0.884
A0AAC9YPU9.pdb,A0AAC9YPU9,0.884
A0A516NPD0.pdb,A0A516NPD0,0.885
H8IJH7.pdb,H8IJH7,0.885
A0A7G1KQI6.pdb,A0A7G1KQI6,0.885
A0A1X0KKW9.pdb,A0A1X0KKW9,0.885
A0ABN9NWH6.pdb,A0ABN9NWH6,0.885
V5X749.pdb,V5X749,0.885
A0A1X0K0U7.pdb,A0A1X0K0U7,0.886
A0A7V8RXZ3.pdb,A0A7V8RXZ3,0.886
A0A7T1TD85.pdb,A0A7T1TD85,0.886
A0ABX3RX86.pdb,A0ABX3RX86,0.887
A0ABT1H9N7.pdb,A0ABT1H9N7,0.888
A0A1Q4HPF1.pdb,A0A1Q4HPF1,0.888
A0A1G6PJB6.pdb,A0A1G6PJB6,0.889
A0A1A2UBP1.pdb,A0A1A2UBP1,0.889
A0A5Q5CFF7.pdb,A0A5Q5CFF7,0.89
A0A7R7MY24.pdb,A0A7R7MY24,0.89
A0A0N9YG13.pdb,A0A0N9YG13,0.89
A0ABS1MF83.pdb,A0ABS1MF83,0.89
A0A6G9YM63.pdb,A0A6G9YM63,0.891
A0A1E3RBW0.pdb,A0A1E3RBW0,0.891
A0AB33ACF4.pdb,A0AB33ACF4,0.892
A0A1X1XH13.pdb,A0A1X1XH13,0.892
A0ABX3T954.pdb,A0ABX3T954,0.892
A0A839Q3V9.pdb,A0A839Q3V9,0.892
A0A0H5RL48.pdb,A0A0H5RL48,0.893
I4BIH7.pdb,I4BIH7,0.893
A0A7U5MR51.pdb,A0A7U5MR51,0.893
A0A0M2JYX2.pdb,A0A0M2JYX2,0.893
A0A1E3SN70.pdb,A0A1E3SN70,0.893
A0ABN5YWL7.pdb,A0ABN5YWL7,0.894
A0AAX1JED5.pdb,A0AAX1JED5,0.895
A0ABX2JV81.pdb,A0ABX2JV81,0.895
A0A7X6MIZ0.pdb,A0A7X6MIZ0,0.895
G8RIP0.pdb,G8RIP0,0.895
A0ABW9L5T4.pdb,A0ABW9L5T4,0.896
A0A318HI90.pdb,A0A318HI90,0.896
A0A1E8QAA5.pdb,A0A1E8QAA5,0.896
A0ABT3CFH2.pdb,A0ABT3CFH2,0.896
A0ABS4ZTS0.pdb,A0ABS4ZTS0,0.896
A0ABW6S8I6.pdb,A0ABW6S8I6,0.897
A0A373A3G8.pdb,A0A373A3G8,0.897
A0ABS6KMP2.pdb,A0ABS6KMP2,0.897
A0A1X2AMC4.pdb,A0A1X2AMC4,0.897
A0ABY3TZG2.pdb,A0ABY3TZG2,0.898
A0A498QQD7.pdb,A0A498QQD7,0.898
A0A3S4RS92.pdb,A0A3S4RS92,0.899
A0A1Y5PCF7.pdb,A0A1Y5PCF7,0.899
A0A1Q4H4E6.pdb,A0A1Q4H4E6,0.899
A0A1A2YRQ4.pdb,A0A1A2YRQ4,0.899
A0A1Q9W8K3.pdb,A0A1Q9W8K3,0.9
A0A7I7UBW3.pdb,A0A7I7UBW3,0.9
A0A1Z4EZ40.pdb,A0A1Z4EZ40,0.9
A0A9X3C2T0.pdb,A0A9X3C2T0,0.902
A0A9X2Z2J6.pdb,A0A9X2Z2J6,0.902
A0A2A7NAH8.pdb,A0A2A7NAH8,0.902
A0A0F4ES51.pdb,A0A0F4ES51,0.902
A0ABP8EZM2.pdb,A0ABP8EZM2,0.903
A0A2A7NH78.pdb,A0A2A7NH78,0.903
A0A8H2PI19.pdb,A0A8H2PI19,0.903
A0ABW7X529.pdb,A0ABW7X529,0.903
A0ABR4YVY6.pdb,A0ABR4YVY6,0.903
A0ABU8RZH5.pdb,A0ABU8RZH5,0.904
A0A1E3SKI4.pdb,A0A1E3SKI4,0.904
A0A4R8S8U4.pdb,A0A4R8S8U4,0.904
Q741P9.pdb,Q741P9,0.905
A0A0J6VW20.pdb,A0A0J6VW20,0.905
A0A5Q5BJ80.pdb,A0A5Q5BJ80,0.905
A0ABT3SKC9.pdb,A0ABT3SKC9,0.907
A0A1B9CX42.pdb,A0A1B9CX42,0.907
A0A829MDQ7.pdb,A0A829MDQ7,0.907
A0A829HWH3.pdb,A0A829HWH3,0.907
A0ABW6NT79.pdb,A0ABW6NT79,0.907
A0ABZ1YLN8.pdb,A0ABZ1YLN8,0.907
A0AAD1I0L4.pdb,A0AAD1I0L4,0.907
A0A378T283.pdb,A0A378T283,0.908
A0ABQ3SCS9.pdb,A0ABQ3SCS9,0.909
A0A7I7JNU6.pdb,A0A7I7JNU6,0.909
A0A1X1YHA8.pdb,A0A1X1YHA8,0.909
A0A1X0FZ49.pdb,A0A1X0FZ49,0.909
A0A7V8RXZ7.pdb,A0A7V8RXZ7,0.909
F5YUX6.pdb,F5YUX6,0.909
A0ABX3RCA5.pdb,A0ABX3RCA5,0.91
A0A498PZZ1.pdb,A0A498PZZ1,0.91
A0A544W3Y3.pdb,A0A544W3Y3,0.91
A0A0U0WCI8.pdb,A0A0U0WCI8,0.91
A0A4R1FSR2.pdb,A0A4R1FSR2,0.911
A0ABS5AT52.pdb,A0ABS5AT52,0.911
A0A0U0ZGC0.pdb,A0A0U0ZGC0,0.912
A0ABS2KQI4.pdb,A0ABS2KQI4,0.912
A0A1X1WD57.pdb,A0A1X1WD57,0.912
A0ABY9FP74.pdb,A0ABY9FP74,0.913
A0A1B9CJD7.pdb,A0A1B9CJD7,0.913
A0A4R8T0X1.pdb,A0A4R8T0X1,0.913
A0A9X2E4R0.pdb,A0A9X2E4R0,0.913
A0A291RHE0.pdb,A0A291RHE0,0.913
A0A4Z0LXD8.pdb,A0A4Z0LXD8,0.914
A0A853M2B7.pdb,A0A853M2B7,0.915
A0A329KUN3.pdb,A0A329KUN3,0.915
A0A1A2SGC1.pdb,A0A1A2SGC1,0.916
A0ABX3SQI7.pdb,A0ABX3SQI7,0.916
A0A1X0BWL6.pdb,A0A1X0BWL6,0.918
A0A0H3MU55.pdb,A0A0H3MU55,0.918
A0A132PS78.pdb,A0A132PS78,0.918
A0A179V396.pdb,A0A179V396,0.919
A0A653FAQ0.pdb,A0A653FAQ0,0.919
A0A1X0ED97.pdb,A0A1X0ED97,0.919
J5E0P6.pdb,J5E0P6,0.92
A0A829MIB4.pdb,A0A829MIB4,0.92
A0ABX7RQ37.pdb,A0ABX7RQ37,0.921
A0A1T3NUL4.pdb,A0A1T3NUL4,0.921
A0ABT8UIQ8.pdb,A0ABT8UIQ8,0.922
A0A2G5PN19.pdb,A0A2G5PN19,0.922
A0A1X0I7R5.pdb,A0A1X0I7R5,0.922
A0A1X1RMT2.pdb,A0A1X1RMT2,0.922
A0ABW7VTR0.pdb,A0ABW7VTR0,0.922
A0A917RUF6.pdb,A0A917RUF6,0.922
A0A7I7ZRH7.pdb,A0A7I7ZRH7,0.922
A0A0F5NA60.pdb,A0A0F5NA60,0.923
A0A0K0X557.pdb,A0A0K0X557,0.923
A0A8E2LPD0.pdb,A0A8E2LPD0,0.924
A0A7I7SCY4.pdb,A0A7I7SCY4,0.924
A0ABY6RGT5.pdb,A0ABY6RGT5,0.924
A0A1X0Y567.pdb,A0A1X0Y567,0.924
A0ABN1T3W5.pdb,A0ABN1T3W5,0.925
A0A4R8S6S5.pdb,A0A4R8S6S5,0.925
A0A0M2WG04.pdb,A0A0M2WG04,0.925
A0A1V2I487.pdb,A0A1V2I487,0.925
A0A1A3GZZ6.pdb,A0A1A3GZZ6,0.925
A0AAJ3TVZ5.pdb,A0AAJ3TVZ5,0.926
A0A9Q7SE40.pdb,A0A9Q7SE40,0.926
A0A7I7XP41.pdb,A0A7I7XP41,0.926
A0A2U3NPT1.pdb,A0A2U3NPT1,0.927
A0ABU1J6J1.pdb,A0ABU1J6J1,0.928
A0AAD1HCQ5.pdb,A0AAD1HCQ5,0.928
A0A1X2KZQ2.pdb,A0A1X2KZQ2,0.929
A0A7I7KQ88.pdb,A0A7I7KQ88,0.929
A0ABS1N1S8.pdb,A0ABS1N1S8,0.93
A0A557XZJ5.pdb,A0A557XZJ5,0.93
A0ABU2TUM7.pdb,A0ABU2TUM7,0.931
A0A7I9Y2B3.pdb,A0A7I9Y2B3,0.932
A0ABW9FXS8.pdb,A0ABW9FXS8,0.932
A0ABY8W257.pdb,A0ABY8W257,0.932
A0ABW6S9K2.pdb,A0ABW6S9K2,0.933
A0A7W9PLQ8.pdb,A0A7W9PLQ8,0.933
A0A172UHW8.pdb,A0A172UHW8,0.934
A0A1X0AZ01.pdb,A0A1X0AZ01,0.934
A0A100WJQ5.pdb,A0A100WJQ5,0.934
A0ABW6TDD8.pdb,A0ABW6TDD8,0.935
A0A2S8BGN3.pdb,A0A2S8BGN3,0.935
A0A0B1ZH49.pdb,A0A0B1ZH49,0.935
A0ABN5YVZ6.pdb,A0ABN5YVZ6,0.935
A0A9X7ILG2.pdb,A0A9X7ILG2,0.936
A0A6G9Z2E5.pdb,A0A6G9Z2E5,0.936
A0AB38CYE9.pdb,A0AB38CYE9,0.937
O69484.pdb,O69484,0.937
A0A0E4GX90.pdb,A0A0E4GX90,0.938
A0A0D1L7Y1.pdb,A0A0D1L7Y1,0.938
A0ABY3UXN4.pdb,A0ABY3UXN4,0.938
D5PI48.pdb,D5PI48,0.938
A0ABU7WS67.pdb,A0ABU7WS67,0.938
H8IU56.pdb,H8IU56,0.939
A0A7I7QP46.pdb,A0A7I7QP46,0.939
A0AAD1IMP5.pdb,A0AAD1IMP5,0.939
A0A7U5RWM8.pdb,A0A7U5RWM8,0.939
A0A1A0VBY7.pdb,A0A1A0VBY7,0.94
A0ABY3V8K0.pdb,A0ABY3V8K0,0.943
A0A1W9ZSJ9.pdb,A0A1W9ZSJ9,0.943
A0A024JSK2.pdb,A0A024JSK2,0.943
A0A7K1VB93.pdb,A0A7K1VB93,0.944
A0A919J5R3.pdb,A0A919J5R3,0.945
B1VMZ4.pdb,B1VMZ4,0.945
A0A829PS58.pdb,A0A829PS58,0.945
A0A6I3L2J0.pdb,A0A6I3L2J0,0.945
A0A329M492.pdb,A0A329M492,0.946
A0A286MPQ6.pdb,A0A286MPQ6,0.946
A0A143QSN8.pdb,A0A143QSN8,0.946
A0A1Z4EZ73.pdb,A0A1Z4EZ73,0.947
A0A2N3VL42.pdb,A0A2N3VL42,0.948
A0A1X0I595.pdb,A0A1X0I595,0.948
A0A7I7WCE0.pdb,A0A7I7WCE0,0.949
A0A939FJS2.pdb,A0A939FJS2,0.95
A0A7I9ZRY4.pdb,A0A7I9ZRY4,0.95
A0A1A2NZX0.pdb,A0A1A2NZX0,0.951
A0A927EY10.pdb,A0A927EY10,0.951
A0A1X1YTK3.pdb,A0A1X1YTK3,0.951
X0Q040.pdb,X0Q040,0.951
A0ACD2EK82.pdb,A0ACD2EK82,0.951
A0A179V451.pdb,A0A179V451,0.952
A0ABX6HJR3.pdb,A0ABX6HJR3,0.952
A0ABV1XJ74.pdb,A0ABV1XJ74,0.952
A0AAX1JCS8.pdb,A0AAX1JCS8,0.954
A0ABT6CN04.pdb,A0ABT6CN04,0.954
A0A447GD36.pdb,A0A447GD36,0.955
A0AB33ACN0.pdb,A0AB33ACN0,0.956
A0AAE6TQG2.pdb,A0AAE6TQG2,0.956
A0ABW6RDE0.pdb,A0ABW6RDE0,0.957
A0A401YST3.pdb,A0A401YST3,0.957
A0AA91M3B5.pdb,A0AA91M3B5,0.957
A0A4R5WK74.pdb,A0A4R5WK74,0.957
